Município,Área (km²),UF,Região,Microrregião,Lat,Lng,Location,Color,https://www.geosheets.com/map/s:V64O1lbZ/mapa-GO
Abadia de Goiás,146,GO,Centro,Goiânia,-16.75,-49.43,"-16.75,-49.43",red,
Abadiânia,"1,044",GO,Leste,Entorno do Distrito Federal,-16.2,-48.7,"-16.2,-48.7",purple,
Acreúna,"1,566",GO,Sul,Vale do Rio dos Bois,-17.39,-50.37,"-17.39,-50.37",gold,
Adelândia,115,GO,Centro,Anicuns,-16.41,-50.16,"-16.41,-50.16",red,
Água Fria de Goiás,"2,029",GO,Leste,Entorno do Distrito Federal,-14.98,-47.78,"-14.98,-47.78",purple,
Água Limpa,453,GO,Sul,Meia Ponte,-18.07,-48.76,"-18.07,-48.76",gold,
Águas Lindas de Goiás,191,GO,Leste,Entorno do Distrito Federal,-15.76,-48.28,"-15.76,-48.28",purple,
Alexânia,848,GO,Leste,Entorno do Distrito Federal,-16.08,-48.5,"-16.08,-48.5",purple,
Aloândia,102,GO,Sul,Meia Ponte,-17.72,-49.48,"-17.72,-49.48",gold,
Alto Horizonte,504,GO,Norte,Porangatu,-14.19,-49.33,"-14.19,-49.33",orange,
Alto Paraíso de Goiás,"2,594",GO,Norte,Chapada dos Veadeiros,-14.13,-47.51,"-14.13,-47.51",orange,
Alvorada do Norte,"1,259",GO,Leste,Vão do Paranã,-14.48,-46.49,"-14.48,-46.49",purple,
Amaralina,"1,413",GO,Norte,Porangatu,-13.92,-49.29,"-13.92,-49.29",orange,
Americano do Brasil,134,GO,Centro,Anicuns,-16.25,-49.98,"-16.25,-49.98",red,
Amorinópolis,409,GO,Centro,Iporá,-16.61,-51.09,"-16.61,-51.09",red,
Anápolis,918,GO,Centro,Anápolis,-16.32,-48.95,"-16.32,-48.95",red,
Anhanguera,57,GO,Sul,Catalão,-18.33,-48.21,"-18.33,-48.21",gold,
Anicuns,962,GO,Centro,Anicuns,-16.46,-49.96,"-16.46,-49.96",red,
Aparecida de Goiânia,288,GO,Centro,Goiânia,-16.82,-49.24,"-16.82,-49.24",red,
Aparecida do Rio Doce,602,GO,Sul,Sudoeste de Goiás,-18.29,-51.14,"-18.29,-51.14",gold,
Aporé,"2,900",GO,Sul,Sudoeste de Goiás,-18.96,-51.92,"-18.96,-51.92",gold,
Araçu,154,GO,Centro,Anápolis,-16.35,-49.68,"-16.35,-49.68",red,
Aragarças,663,GO,Noroeste,Aragarças,-15.89,-52.25,"-15.89,-52.25",blue,
Aragoiânia,219,GO,Centro,Goiânia,-16.91,-49.45,"-16.91,-49.45",red,
Araguapaz,"2,194",GO,Noroeste,Rio Vermelho,-15.09,-50.63,"-15.09,-50.63",blue,
Arenópolis,"1,075",GO,Noroeste,Aragarças,-16.38,-51.56,"-16.38,-51.56",blue,
Aruanã,"3,050",GO,Noroeste,Rio Vermelho,-14.92,-51.08,"-14.92,-51.08",blue,
Aurilândia,565,GO,Centro,Anicuns,-16.68,-50.46,"-16.68,-50.46",red,
Avelinópolis,164,GO,Centro,Anicuns,-16.46,-49.75,"-16.46,-49.75",red,
Baliza,"1,783",GO,Noroeste,Aragarças,-16.19,-52.54,"-16.19,-52.54",blue,
Barro Alto,"1,093",GO,Centro,Ceres,-14.97,-48.91,"-14.97,-48.91",red,
Bela Vista de Goiás,"1,277",GO,Centro,Goiânia,-16.97,-48.95,"-16.97,-48.95",red,
Bom Jardim de Goiás,"1,851",GO,Noroeste,Aragarças,-16.21,-52.17,"-16.21,-52.17",blue,
Bom Jesus de Goiás,"1,405",GO,Sul,Meia Ponte,-18.21,-49.74,"-18.21,-49.74",gold,
Bonfinópolis,122,GO,Centro,Goiânia,-16.61,-48.96,"-16.61,-48.96",red,
Bonópolis,"1,628",GO,Norte,Porangatu,-13.63,-49.81,"-13.63,-49.81",orange,
Brazabrantes,124,GO,Centro,Anápolis,-16.43,-49.38,"-16.43,-49.38",red,
Britânia,"1,461",GO,Noroeste,Rio Vermelho,-15.24,-51.16,"-15.24,-51.16",blue,
Buriti Alegre,897,GO,Sul,Meia Ponte,-18.14,-49.04,"-18.14,-49.04",gold,
Buriti de Goiás,199,GO,Centro,Anicuns,-16.18,-50.43,"-16.18,-50.43",red,
Buritinópolis,268,GO,Leste,Vão do Paraná,-14.47,-46.4,"-14.47,-46.4",purple,
Cabeceiras,"1,128",GO,Leste,Entorno do Distrito Federal,-15.8,-46.92,"-15.8,-46.92",purple,
Cachoeira Alta,"1,654",GO,Sul,Quirinópolis,-18.76,-50.94,"-18.76,-50.94",gold,
Cachoeira de Goiás,416,GO,Centro,Iporá,-16.66,-50.64,"-16.66,-50.64",red,
Cachoeira Dourada,521,GO,Sul,Meia Ponte,-18.49,-49.47,"-18.49,-49.47",gold,
Caçu,"2,251",GO,Sul,Quirinópolis,-18.55,-51.13,"-18.55,-51.13",gold,
Caiapônia,"8,653",GO,Sul,Sudoeste de Goiás,-16.95,-51.81,"-16.95,-51.81",gold,
Caldas Novas,"1,590",GO,Sul,Meia Ponte,-17.74,-48.62,"-17.74,-48.62",gold,
Caldazinha,312,GO,Centro,Goiânia,-16.71,-49,"-16.71,-49",red,
